ID_Funcionario,Departamento,Nivel_Acesso,Data_Hora,Arquivo_Acessado,IP_Origem,Pais
FUNC410,Financeiro,Diretor,2026-04-16 18:15:49,lista_clientes.csv,174.158.191.223,Brasil
FUNC579,Vendas,Estagiario,2026-04-09 23:47:49,lista_clientes.csv,156.176.160.125,Brasil
FUNC414,Vendas,Diretor,2026-03-24 12:28:49,codigo_fonte.git,148.43.12.8,China
FUNC286,Operacoes,Diretor,2026-03-26 02:21:49,codigo_fonte.git,157.182.4.22,China
FUNC294,Vendas,Estagiario,2026-03-20 11:06:49,codigo_fonte.git,162.61.181.119,Russia
FUNC936,Financeiro,Diretor,2026-04-12 22:10:49,planejamento_estrategico.pptx,223.177.168.98,China
FUNC258,TI,Estagiario,2026-03-20 10:46:49,folha_pagamento.pdf,38.68.11.241,Brasil
FUNC250,Financeiro,Analista,2026-04-05 05:02:49,relatorio_mensal.xlsx,110.65.255.172,China
FUNC687,Operacoes,Estagiario,2026-04-14 06:32:49,codigo_fonte.git,126.19.57.162,Brasil
FUNC312,Vendas,Analista,2026-04-09 01:09:49,lista_clientes.csv,138.50.231.225,Brasil
FUNC477,Operacoes,Gerente,2026-04-03 15:42:49,relatorio_mensal.xlsx,214.222.124.174,EUA
FUNC781,TI,Estagiario,2026-03-21 05:25:49,planejamento_estrategico.pptx,221.8.45.33,Russia
FUNC947,Financeiro,Gerente,2026-04-18 01:02:49,relatorio_mensal.xlsx,126.163.33.150,Russia
FUNC208,Vendas,Analista,2026-04-01 11:12:49,codigo_fonte.git,59.132.222.25,Brasil
FUNC404,Financeiro,Gerente,2026-04-17 12:29:49,folha_pagamento.pdf,26.33.227.64,Brasil
FUNC588,Financeiro,Diretor,2026-04-18 05:51:49,relatorio_mensal.xlsx,233.55.20.120,Russia
FUNC547,RH,Analista,2026-03-30 22:24:49,planejamento_estrategico.pptx,79.72.19.193,Brasil
FUNC941,RH,Diretor,2026-03-30 22:59:49,folha_pagamento.pdf,143.168.43.209,EUA
FUNC994,Vendas,Estagiario,2026-04-14 00:41:49,lista_clientes.csv,233.230.23.241,Brasil
FUNC924,Operacoes,Estagiario,2026-03-27 08:00:49,planejamento_estrategico.pptx,233.177.196.23,Brasil
FUNC655,TI,Gerente,2026-03-30 04:21:49,folha_pagamento.pdf,89.86.194.57,EUA
FUNC490,Operacoes,Estagiario,2026-04-19 13:15:49,planejamento_estrategico.pptx,143.49.88.197,Russia
FUNC893,Financeiro,Gerente,2026-04-07 19:41:49,relatorio_mensal.xlsx,42.199.22.48,Brasil
FUNC449,Vendas,Gerente,2026-04-14 00:36:49,folha_pagamento.pdf,163.82.245.40,Russia
FUNC739,Operacoes,Estagiario,2026-03-24 03:15:49,relatorio_mensal.xlsx,166.213.83.219,Russia
FUNC749,TI,Diretor,2026-04-10 16:29:49,codigo_fonte.git,215.24.103.218,Brasil
FUNC987,Operacoes,Analista,2026-04-19 14:54:49,folha_pagamento.pdf,120.194.127.97,China
FUNC447,Financeiro,Analista,2026-04-17 15:15:49,planejamento_estrategico.pptx,19.195.151.35,China
FUNC331,RH,Diretor,2026-03-28 01:09:49,planejamento_estrategico.pptx,183.77.77.87,Russia
FUNC724,Operacoes,Gerente,2026-03-21 02:57:49,codigo_fonte.git,94.30.7.42,Brasil
FUNC459,Vendas,Diretor,2026-03-28 18:54:49,lista_clientes.csv,230.193.34.2,Brasil
FUNC650,Vendas,Analista,2026-04-10 07:33:49,planejamento_estrategico.pptx,21.242.220.54,China
FUNC441,Operacoes,Analista,2026-04-01 22:20:49,relatorio_mensal.xlsx,34.46.118.204,Brasil
FUNC984,Financeiro,Gerente,2026-03-29 21:27:49,lista_clientes.csv,228.124.160.167,Brasil
FUNC300,TI,Estagiario,2026-04-09 21:21:49,relatorio_mensal.xlsx,71.103.19.24,Russia
FUNC519,TI,Estagiario,2026-04-12 23:23:49,relatorio_mensal.xlsx,1.163.28.23,Brasil
FUNC146,Financeiro,Analista,2026-04-08 08:46:49,codigo_fonte.git,91.96.39.234,Brasil
FUNC836,Vendas,Diretor,2026-03-30 16:08:49,codigo_fonte.git,196.87.18.137,EUA
FUNC771,Operacoes,Estagiario,2026-03-28 04:56:49,folha_pagamento.pdf,173.123.181.127,Brasil
