ID_Funcionario,Departamento,Nivel_Acesso,Data_Hora,Arquivo_Acessado,IP_Origem,Pais
FUNC414,Vendas,Diretor,2026-03-24 12:28:49,codigo_fonte.git,148.43.12.8,China
FUNC286,Operacoes,Diretor,2026-03-26 02:21:49,codigo_fonte.git,157.182.4.22,China
FUNC294,Vendas,Estagiario,2026-03-20 11:06:49,codigo_fonte.git,162.61.181.119,Russia
FUNC936,Financeiro,Diretor,2026-04-12 22:10:49,planejamento_estrategico.pptx,223.177.168.98,China
FUNC250,Financeiro,Analista,2026-04-05 05:02:49,relatorio_mensal.xlsx,110.65.255.172,China
FUNC477,Operacoes,Gerente,2026-04-03 15:42:49,relatorio_mensal.xlsx,214.222.124.174,EUA
FUNC781,TI,Estagiario,2026-03-21 05:25:49,planejamento_estrategico.pptx,221.8.45.33,Russia
FUNC947,Financeiro,Gerente,2026-04-18 01:02:49,relatorio_mensal.xlsx,126.163.33.150,Russia
FUNC588,Financeiro,Diretor,2026-04-18 05:51:49,relatorio_mensal.xlsx,233.55.20.120,Russia
FUNC941,RH,Diretor,2026-03-30 22:59:49,folha_pagamento.pdf,143.168.43.209,EUA
FUNC655,TI,Gerente,2026-03-30 04:21:49,folha_pagamento.pdf,89.86.194.57,EUA
FUNC490,Operacoes,Estagiario,2026-04-19 13:15:49,planejamento_estrategico.pptx,143.49.88.197,Russia
FUNC449,Vendas,Gerente,2026-04-14 00:36:49,folha_pagamento.pdf,163.82.245.40,Russia
FUNC739,Operacoes,Estagiario,2026-03-24 03:15:49,relatorio_mensal.xlsx,166.213.83.219,Russia
FUNC987,Operacoes,Analista,2026-04-19 14:54:49,folha_pagamento.pdf,120.194.127.97,China
FUNC447,Financeiro,Analista,2026-04-17 15:15:49,planejamento_estrategico.pptx,19.195.151.35,China
FUNC331,RH,Diretor,2026-03-28 01:09:49,planejamento_estrategico.pptx,183.77.77.87,Russia
FUNC650,Vendas,Analista,2026-04-10 07:33:49,planejamento_estrategico.pptx,21.242.220.54,China
FUNC300,TI,Estagiario,2026-04-09 21:21:49,relatorio_mensal.xlsx,71.103.19.24,Russia
FUNC836,Vendas,Diretor,2026-03-30 16:08:49,codigo_fonte.git,196.87.18.137,EUA
FUNC481,TI,Gerente,2026-04-01 00:26:49,folha_pagamento.pdf,10.94.203.251,Russia
FUNC533,Financeiro,Analista,2026-04-04 17:17:49,folha_pagamento.pdf,69.77.89.196,Russia
FUNC207,TI,Gerente,2026-04-19 07:33:49,folha_pagamento.pdf,85.177.90.128,China
FUNC783,RH,Analista,2026-03-21 15:30:49,lista_clientes.csv,78.31.250.189,China
FUNC530,TI,Diretor,2026-04-08 01:04:49,lista_clientes.csv,188.146.225.50,China
FUNC575,Financeiro,Estagiario,2026-04-03 06:29:49,planejamento_estrategico.pptx,119.186.226.69,EUA
FUNC283,Financeiro,Diretor,2026-03-26 05:48:49,folha_pagamento.pdf,59.151.65.203,EUA
FUNC709,Operacoes,Estagiario,2026-04-09 20:52:49,lista_clientes.csv,78.175.181.126,China
FUNC430,Operacoes,Estagiario,2026-04-18 23:56:49,folha_pagamento.pdf,64.255.77.150,EUA
